TestID,TestName,TestDescription,TestLanguage,Image,CreatedBy,LastUpdatedBy
1,Hello,greeting in Finnish language,fi,https://thumbs.dreamstime.com/b/hello-speech-bubble-hand-drawn-doodle-speech-bubbles-hello-speech-bubble-hand-drawn-doodle-speech-bubbles-bright-yellow-thought-204459978.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
2,Viikko,Week,fi,https://thumbs.dreamstime.com/z/d-191738022.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
3,Kuukaudet,Months ,fi,https://o.quizlet.com/rVJWEnw5kToXUVoLyidTyA_b.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
4,Vuodenajat,Seasons,fi,https://3.bp.blogspot.com/-I5zBKxSfU8M/VwgHqEJl1QI/AAAAAAAAApc/m1EdwIyR3K89H3nMPyc-QR6ALdFBZ3JRw/s1600/vuodenajat6.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
5,Sää,Weather,fi,https://www.helsinkitimes.fi/images/2012/oct/273/wheather.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
6,Vuorokausi,Parts of a Day,fi,https://static.vecteezy.com/system/resources/previews/033/953/426/non_2x/illustration-of-a-clock-with-a-day-and-night-dial-vector.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
7,Symbolit,imperative / infinitive verb forms,fi,https://www.vedantu.com/seo/content-images/c29f9584-45ca-4d60-a543-4c1e07531597.png,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
8,Värit,Colors,fi,https://3.bp.blogspot.com/-OJMQ4dOZNj8/UKWELm5PWII/AAAAAAAACsU/tgcIOyjOYvs/s1600/Color+wheel+image+robinlechnerdesigns.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
9,Kotieläimet,Cattles,fi,https://p1.hiclipart.com/preview/682/51/758/family-silhouette-cattle-holstein-friesian-cattle-cows-milk-copyrightfree-photography-dairy-cattle-beef-png-clipart.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
10,Villieläimet,Wild animals,fi,https://img.freepik.com/premium-vector/cute-wild-jungle-animals-round-shape-zoo-park-design-element-vector-illustration_178650-37465.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
11,Maailman Eläimet,Animals of the World,fi,https://img.graphicsurf.com/2018/09/animals-vector-free-icon-set1.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
12,Numerot (1-10),Numbers (1-10),fi,https://o.quizlet.com/v78WhuQBpTu0.U90eQIRsw_b.png,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
13,Numerot (11-20),Numbers (11-20),fi,https://ecdn.teacherspayteachers.com/thumbitem/Numbers-FREEBIE-064846200-1378144355-1443223822/original-857434-2.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
14,Rahat,Money (Big Number),fi,https://1.bp.blogspot.com/-6oMMD6wlyrI/X_cRWSgsmJI/AAAAAAAAAu0/6wWe-V8tb3g40w0l4Jw1Xnq0JBCPc8CTgCLcBGAsYHQ/s16000/Euro+currency+symbol+on+gold+coin+-+PNG.png,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
15,Järjestysluvut,Order Numbers,fi,https://firelaunchers.com/mediaassetskit/jvinvite/images/a4.png,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
16,Soitin,Instrument,fi,https://static.vecteezy.com/system/resources/previews/000/137/411/original/music-instrument-icon-pack-vector.jpg,Chuong Hoang Dai Hien,Chuong Hoang Dai Hien
17,Keho,Body parts (P1),fi,https://kuha.papunet.net/api/image/19821?lang=fi,Chuong Hoang,Chuong Hoang
18,Kasvot,Facial Vocabulary,fi,https://kuha.papunet.net/api/image/7208?lang=fi,Chuong Hoang,Chuong Hoang
19,Sairaus,Sickness Vocabulary,fi,https://kuha.papunet.net/api/image/21770?lang=fi,Chuong Hoang,Chuong Hoang
20,kävellä ja juosta,Learn Verbs Walk and Run,fi,https://kuha.papunet.net/api/image/37321?lang=fi,Chuong Hoang,Chuong Hoang
21,Sijainti,Position in Space,fi,https://kuha.papunet.net/api/image/3011?lang=fi,Chuong Hoang,Chuong Hoang
22,Millaiset hiukset,types of hairs,fi,https://kuha.papunet.net/api/image/7208?lang=fi,Chuong Hoang,Chuong Hoang
23,Mitä hän tekee?,what is he doing?,fi,https://kuha.papunet.net/api/image/7208?lang=fi,Chuong Hoang,Chuong Hoang
24,Lauseen rakenne 01,Making a scentence 01,fi,https://thumbs.dreamstime.com/b/hello-speech-bubble-hand-drawn-doodle-speech-bubbles-hello-speech-bubble-hand-drawn-doodle-speech-bubbles-bright-yellow-thought-204459978.jpg,Chuong Hoang,Chuong Hoang
25,Lauseen rakenne 02,Making a scentence 02,fi,https://thumbs.dreamstime.com/b/hello-speech-bubble-hand-drawn-doodle-speech-bubbles-hello-speech-bubble-hand-drawn-doodle-speech-bubbles-bright-yellow-thought-204459978.jpg,Chuong Hoang,Chuong Hoang
26,Lauseen rakenne 03,Making a scentence 03,fi,https://thumbs.dreamstime.com/b/hello-speech-bubble-hand-drawn-doodle-speech-bubbles-hello-speech-bubble-hand-drawn-doodle-speech-bubbles-bright-yellow-thought-204459978.jpg,Chuong Hoang,Chuong Hoang
